n_robots,seed,arm,pose_rmse,align_rmse,trust_yield,n_delivered
2,10,fifo,0.3435944287084449,0.25446692159560397,0.45180170219894217,32
2,10,bacs_gated,0.6502064729415701,0.22802857603839813,0.38249023475090327,32
2,10,plus_0.30_6,0.6502064729415701,0.22802857603839813,0.38249023475090327,32
2,10,plus_0.60_5,0.5567905367555025,0.18305373007912626,0.3628022805688723,32
2,11,fifo,0.36440494026345366,0.2525704363460536,0.4426379286544949,32
2,11,bacs_gated,0.3450213801253488,0.1606643516726562,0.3655561326622697,32
2,11,plus_0.30_6,0.40031961853257464,0.1746961024149704,0.4148079623031934,32
2,11,plus_0.60_5,0.3335654407921905,0.1822760138975189,0.38615707417652756,32
2,12,fifo,0.36979059636099126,0.3699930185725331,0.5212365074353441,32
2,12,bacs_gated,0.25390276284129565,0.16105066623560305,0.5514631739967517,32
2,12,plus_0.30_6,0.329410219300343,0.19766687250819273,0.5422460944540315,32
2,12,plus_0.60_5,0.329410219300343,0.19766687250819273,0.5422460944540315,32
2,13,fifo,0.3085297766817045,0.1379770333052536,0.45991064967586637,32
2,13,bacs_gated,0.3189703060113468,0.1380458614068169,0.5137550544008529,32
2,13,plus_0.30_6,0.3189703060113468,0.1380458614068169,0.5137550544008529,32
2,13,plus_0.60_5,0.3226391678157084,0.19948736457227487,0.49202170239813114,32
2,14,fifo,0.42642540499086584,0.34372700040300636,0.4130202577922026,32
2,14,bacs_gated,0.39521151605466753,0.16916149153084262,0.4080483875745321,32
2,14,plus_0.30_6,0.4462770902557885,0.15720027867259703,0.38176477696543387,32
2,14,plus_0.60_5,0.3101182545311642,0.16986657433290972,0.3000133077071906,32
2,15,fifo,0.7084145495844592,0.30872492422723957,0.37731676331668834,32
2,15,bacs_gated,0.34224467374536127,0.2100449007760372,0.4158782487706997,32
2,15,plus_0.30_6,0.3198722281782545,0.23063242217874202,0.39075908380716906,32
2,15,plus_0.60_5,0.3416915179428542,0.17371588517292633,0.4300217401897003,32
2,16,fifo,0.4275596399355533,0.47718508330375864,0.38091991672631353,32
2,16,bacs_gated,0.3180446189234944,0.17689932138421646,0.5106347551779056,32
2,16,plus_0.30_6,0.33351499048719435,0.18865094885133746,0.4683539545126131,32
2,16,plus_0.60_5,0.29885907178552223,0.18906377144331726,0.488637374018146,32
2,17,fifo,0.3164393349072434,0.34977241925448355,0.5105545630591732,32
2,17,bacs_gated,0.43370639054901877,0.23416381930695512,0.45634132403635896,32
2,17,plus_0.30_6,0.3763804322805994,0.22197201870100605,0.4463449221509521,32
2,17,plus_0.60_5,0.35775536071354885,0.2220771885066761,0.43343213005775194,32
2,18,fifo,0.8963419007925638,0.6887985369363494,0.3984049089675004,32
2,18,bacs_gated,0.5500147621552104,0.17849135014188652,0.37894593694485285,32
2,18,plus_0.30_6,0.5500147621552104,0.17849135014188652,0.37894593694485285,32
2,18,plus_0.60_5,0.48729469108178247,0.1839584863337243,0.33891944452198897,32
2,19,fifo,0.3055941775924346,0.18977900847559875,0.4282693605480939,32
2,19,bacs_gated,0.341117039432104,0.15091882482130084,0.5136761110985194,32
2,19,plus_0.30_6,0.341117039432104,0.15091882482130084,0.5136761110985194,32
2,19,plus_0.60_5,0.3467259937790418,0.14922367051012045,0.5011056295370933,32
2,20,fifo,0.3797939555121804,0.3316485718828045,0.38299490345533294,32
2,20,bacs_gated,0.6040379038816225,0.17429336503610102,0.47022452241039303,32
2,20,plus_0.30_6,0.6040049038200164,0.1742927979225816,0.46978278314220573,32
2,20,plus_0.60_5,0.48758003364086017,0.1569364533549165,0.3844642265859286,32
2,21,fifo,0.549152533895906,0.43734335567346155,0.4255660896882131,32
2,21,bacs_gated,0.4884498451458438,0.20879813075891632,0.4622720112051939,32
2,21,plus_0.30_6,0.5517352719372174,0.2149013895082459,0.4691576110591949,32
2,21,plus_0.60_5,0.60662858977663,0.21021576941958223,0.46915115208365904,32
2,22,fifo,0.4338164665154671,0.28678953061883466,0.26606085199329454,32
2,22,bacs_gated,0.26798158406318795,0.22837835450683472,0.38782977068108637,32
2,22,plus_0.30_6,0.5121720966549661,0.33059357883851437,0.2896238725434872,32
2,22,plus_0.60_5,0.48063276025405094,0.260597502178303,0.27535269155505104,32
2,23,fifo,0.31652811976592243,0.3819395654222817,0.42181253998921897,32
2,23,bacs_gated,0.43323489296661977,0.1574535222223917,0.3593187616866889,32
2,23,plus_0.30_6,0.4379939595064352,0.16336886451421098,0.35194435754350034,32
2,23,plus_0.60_5,0.5535446693392578,0.16694265242093637,0.37992846502509303,32
2,24,fifo,0.2111292977729523,0.3871801237480561,0.38979559937239805,32
2,24,bacs_gated,0.3708025271446004,0.14532631995707446,0.4167213187684484,32
2,24,plus_0.30_6,0.4133998861940868,0.15707094520398462,0.45210533241044226,32
2,24,plus_0.60_5,0.3828344540936993,0.1358819786678472,0.3680288084434834,32
2,25,fifo,0.2203112709483994,0.1892751818362662,0.4147130745168819,32
2,25,bacs_gated,0.15926279376219615,0.14658218503051698,0.5561761435842065,32
2,25,plus_0.30_6,0.15926279376219615,0.14658218503051698,0.5561761435842065,32
2,25,plus_0.60_5,0.1597990662145036,0.1481100562937632,0.5481574917686317,32
2,26,fifo,0.75326377316919,0.525777960864523,0.3304035492855255,32
2,26,bacs_gated,0.42847469708592456,0.21624031604620506,0.17799314606825717,32
2,26,plus_0.30_6,0.40338438830947143,0.21481712167486722,0.17803249155016243,32
2,26,plus_0.60_5,0.48433781744260695,0.20854450383797152,0.16058536670530793,32
2,27,fifo,0.13403004367052676,0.1591620587076561,0.5101132376370372,32
2,27,bacs_gated,0.27334449513576997,0.15187378651045558,0.4423162383957417,32
2,27,plus_0.30_6,0.28549564177420256,0.1291249084455541,0.49265614156822307,32
2,27,plus_0.60_5,0.3157368556706793,0.12794112729805543,0.522299618646763,32
2,28,fifo,0.3881462125400115,0.21211030891261506,0.40405715754631677,32
2,28,bacs_gated,0.3688315741455915,0.14568261487907683,0.3705568448212143,32
2,28,plus_0.30_6,0.35815530760288916,0.14980145038748444,0.35873997674213254,32
2,28,plus_0.60_5,0.3618156506717788,0.1263750811800609,0.3476280003226869,32
2,29,fifo,0.6170612680873964,0.2341258104770361,0.46158835027199613,32
2,29,bacs_gated,0.5956478688321144,0.21342165373528268,0.3711946624730945,32
2,29,plus_0.30_6,0.5576468417860486,0.1849758900231464,0.41928627673186647,32
2,29,plus_0.60_5,0.47694520390190975,0.2396375211272105,0.45758539682228605,32
2,30,fifo,0.9701059456407648,1.2622463640657429,0.45686139664167147,32
2,30,bacs_gated,0.3651712903615853,0.17116510999134035,0.32733859375331137,32
2,30,plus_0.30_6,0.36521916364589074,0.1711637979294375,0.3305042815621716,32
2,30,plus_0.60_5,0.30698237595397637,0.1710514747859907,0.36955066559538363,32
2,31,fifo,0.5806428967697747,0.23461121774324026,0.38304450924453276,32
2,31,bacs_gated,0.30834959918469845,0.16872886751580787,0.5047313340337065,32
2,31,plus_0.30_6,0.31454490922824135,0.1679776634615637,0.48013870195447444,32
2,31,plus_0.60_5,0.33635377618257545,0.16326254082735703,0.4864322957710755,32
2,32,fifo,0.3647257197420009,0.2579091689948595,0.4952558428548323,32
2,32,bacs_gated,0.2789344385208562,0.1497927541713818,0.4817907073525183,32
2,32,plus_0.30_6,0.2789344385208562,0.1497927541713818,0.4817907073525183,32
2,32,plus_0.60_5,0.2866501744196631,0.15122221936885472,0.47949888193549517,32
2,33,fifo,0.26009771085943434,0.3586949606233016,0.5086693037860867,32
2,33,bacs_gated,0.5337717250932109,0.20867869400956485,0.3426876706830884,32
2,33,plus_0.30_6,0.5625520823576944,0.21958236605099934,0.347967113854909,32
2,33,plus_0.60_5,0.5143744627967625,0.21099354040074253,0.3464561498077685,32
2,34,fifo,0.5563530340187416,0.23834877008175656,0.41506309707421096,32
2,34,bacs_gated,0.15333849841848868,0.11544312426677354,0.46203507151782924,32
2,34,plus_0.30_6,0.15114701595703645,0.12334462900230839,0.463261825082803,32
2,34,plus_0.60_5,0.14269141544962197,0.13054156144143084,0.47145606016492214,32
2,35,fifo,0.3630447176321472,0.22077986431758245,0.425420172508306,32
2,35,bacs_gated,0.398663850856964,0.14483080614786892,0.42086388505908706,32
2,35,plus_0.30_6,0.3971353404915663,0.14717902640878214,0.42047200831334336,32
2,35,plus_0.60_5,0.2720201883391641,0.13204530087793778,0.4131613387764529,32
2,36,fifo,0.47492553825296485,0.2347747236571619,0.3765843113369418,32
2,36,bacs_gated,0.2607014518092546,0.20141203618526235,0.2678251595965128,32
2,36,plus_0.30_6,0.2640767208925481,0.20508191082121874,0.27502132541988317,32
2,36,plus_0.60_5,0.2640767208925481,0.20508191082121874,0.27502132541988317,32
2,37,fifo,0.26571623481740564,0.2440775694296297,0.378997698633451,32
2,37,bacs_gated,0.2653001259923773,0.16825694563105245,0.34903234186041177,32
2,37,plus_0.30_6,0.2653001259923773,0.16825694563105245,0.34903234186041177,32
2,37,plus_0.60_5,0.30292657587961824,0.18362529609259112,0.3090911304932334,32
2,38,fifo,0.5680735079758281,0.2501004475880046,0.473156675879939,32
2,38,bacs_gated,0.5565737052854918,0.18029605356507653,0.4841901483162519,32
2,38,plus_0.30_6,0.5076586379886835,0.17707758706865126,0.4764325162661852,32
2,38,plus_0.60_5,0.5122567978512403,0.1747463865570958,0.4819035738228227,32
2,39,fifo,0.3783808529599941,0.20957097402960498,0.46410020680301933,32
2,39,bacs_gated,0.2841312775452578,0.1505803249816755,0.4594224869173916,32
2,39,plus_0.30_6,0.2841312775452578,0.1505803249816755,0.4594224869173916,32
2,39,plus_0.60_5,0.444792594513479,0.17270888474238813,0.4036592409791456,32
3,10,fifo,0.3645742810124791,0.29711063654946235,0.4517019802771296,24
3,10,bacs_gated,0.46091760558956724,0.16498791655557613,0.44114652164907314,24
3,10,plus_0.30_6,0.45972900166764785,0.16020601081031435,0.43788127651486297,24
3,10,plus_0.60_5,0.42135863574498894,0.16443122130008553,0.5261732825181814,24
3,11,fifo,0.46629485924302366,0.5154676050856342,0.38324902659918525,24
3,11,bacs_gated,0.24297245894133812,0.1669320385109233,0.3400199433797706,24
3,11,plus_0.30_6,0.2410529277065674,0.1674037411985398,0.3271696824944628,24
